Timestamp,1a. Country of research institute,1b. Which best describes your affiliation with eDNA?,1c. How long have you worked with eDNA?,2a. At which career stage are you?,2b. How do you work with eDNA data/samples? (select all that apply),2a. Which area would you consider best describes your work? ,2b. How do you use/work with eDNA data/samples? (select all that apply),"3a. With regards to eDNA, where is your main area of expertise?",3b. What type of eDNA samples do you work with? ,"3c. With regards to eDNA, what type of organism(s) do you study (multiple choices allowed)","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Sampling methodology (in the field)]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Primer development (metabarcoding)]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Primer development (single-species)]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Reference database quality/completion]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Quantification of eDNA concentration and assessment of species abundance (single species)]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Quantification of eDNA concentration and assessment of species abundance (metabarcoding)]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Biomonitoring ]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Understanding behaviour of eDNA (decay, shedding, transport)]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Ability to interpret results]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Translation to practice]",3e. Where did you hear about this survey?
2023/09/19 11:43:15 PM GMT+3,United States,researcher (academic),> 5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Terrestrial ecosystems,Soil;Sediment;Air;Water,Vertebrates;Invertebrates;Plants/Macroalgae,3,5 - extensive development needed,4,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,3,5 - extensive development needed,3,4,Email
2023/09/20 12:46:13 AM GMT+3,Brazil,researcher (academic),> 5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Soil;Sediment;Water,Vertebrates;Invertebrates;Plants/Macroalgae;Micro-eukaryotes;Prokaryotes,3,4,3,5 - extensive development needed,No idea,5 - extensive development needed,5 - extensive development needed,4,2,3,Slack 
2023/09/20 3:35:41 AM GMT+3,United States,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment)",,,Marine ecosystems,Sediment;Water,Vertebrates;Invertebrates;Plants/Macroalgae,4,4,4,5 - extensive development needed,3,4,5 - extensive development needed,4,3,4,environmental DNA Slack: environmentaldna.slack.com
2023/09/20 4:53:24 AM GMT+3,Mexico,researcher (academic),> 5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Marine ecosystems,Water,Vertebrates,3,3,5 - extensive development needed,5 - extensive development needed,4,5 - extensive development needed,3,5 - extensive development needed,4,5 - extensive development needed,Slack chanel
2023/09/20 8:27:55 AM GMT+3,Australia,researcher (academic),> 5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Data Analysis (e.g., presence/absence or community assessment);End-user implementing of results (e.g., conservation, policy)",,,Marine ecosystems,Water,Invertebrates,3,4,3,5 - extensive development needed,4,4,5 - extensive development needed,3,4,5 - extensive development needed,Email
2023/09/20 8:48:49 AM GMT+3,India,researcher (academic),< 2 years,Doctoral student,"Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Freshwater ecosystems,Water,Vertebrates,3,5 - extensive development needed,4,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,3,5 - extensive development needed,4,4,Social media
2023/09/20 10:48:12 AM GMT+3,Australia,researcher (academic),> 5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Marine ecosystems,Soil;Water,Vertebrates;Invertebrates;Micro-eukaryotes,3,3,4,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,3,5 - extensive development needed,5 - extensive development needed,4,Social media
2023/09/20 4:42:47 PM GMT+3,Brazil,researcher (academic),< 2 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Water,Prokaryotes,3,4,No idea,5 - extensive development needed,No idea,4,5 - extensive development needed,4,4,5 - extensive development needed,Social media
2023/09/20 5:49:34 PM GMT+3,United Kingdom,researcher (academic),2-5 years,Doctoral student,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Freshwater ecosystems,Sediment;Water,Vertebrates;Invertebrates,4,4,4,4,3,4,3,4,4,4,Social media
2023/09/20 6:44:50 PM GMT+3,Slovakia,researcher (academic),2-5 years,Doctoral student,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Soil;Sediment;Water,Vertebrates;Invertebrates;Micro-eukaryotes,2,2,No idea,5 - extensive development needed,No idea,1 - little development needed,4,4,4,5 - extensive development needed,Social media
2023/09/20 11:08:17 PM GMT+3,New Zealand,researcher (academic),2-5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Marine ecosystems,Sediment;Water,Invertebrates;Plants/Macroalgae;Micro-eukaryotes;Prokaryotes,1 - little development needed,3,5 - extensive development needed,5 - extensive development needed,4,1 - little development needed,3,4,5 - extensive development needed,5 - extensive development needed,Email
2023/09/21 1:18:44 AM GMT+3,New Zealand,researcher (academic),> 5 years,Technician,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment)",,,Marine ecosystems,Sediment;Water,Vertebrates;Invertebrates;Plants/Macroalgae;Micro-eukaryotes;Prokaryotes,3,2,3,5 - extensive development needed,2,3,3,4,3,3,Email
2023/09/21 3:48:27 AM GMT+3,Australia,researcher (academic),> 5 years,Technician,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Water,Vertebrates;Micro-eukaryotes,2,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,2,3,2,3,slack
2023/09/21 6:51:18 AM GMT+3,Australia,researcher (academic),> 5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);engagement with end-users for conservation, policy etc.",,,Freshwater ecosystems,Water,Vertebrates,2,2,4,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,2,4,2,3,Email
2023/09/21 10:23:17 AM GMT+3,Spain,researcher (academic),< 2 years,Doctoral student,"Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Terrestrial ecosystems,Soil,Invertebrates,4,3,2,5 - extensive development needed,2,4,2,4,3,4,Email
2023/09/21 11:14:14 AM GMT+3,Japan,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Freshwater ecosystems,Air;Water,Vertebrates,5 - extensive development needed,4,4,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,4,5 - extensive development needed,5 - extensive development needed,Email
2023/09/21 4:20:18 PM GMT+3,Nigeria,researcher (academic),2-5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Data Analysis (e.g., presence/absence or community assessment);End-user implementing of results (e.g., conservation, policy)",,,Marine ecosystems,Sediment;Water,Vertebrates,3,4,4,4,4,4,4,4,4,4,Social media
2023/09/21 5:32:43 PM GMT+3,United States,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Water,Vertebrates,4,4,4,5 - extensive development needed,4,4,4,5 - extensive development needed,4,No idea,Email
2023/09/21 6:07:37 PM GMT+3,United States,researcher (academic),< 2 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment)",,,Marine ecosystems,Water,Vertebrates;Invertebrates;Plants/Macroalgae;Micro-eukaryotes;Prokaryotes,3,4,4,No idea,4,4,5 - extensive development needed,5 - extensive development needed,4,No idea,Slack
2023/09/21 6:46:25 PM GMT+3,United States,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Water;Biofilm,Vertebrates;Invertebrates;Micro-eukaryotes;Prokaryotes,4,2,3,4,4,5 - extensive development needed,5 - extensive development needed,3,4,5 - extensive development needed,Email
2023/09/21 8:29:50 PM GMT+3,Canada,researcher (academic),< 2 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation)",,,Freshwater ecosystems,Water,Invertebrates;Micro-eukaryotes;Prokaryotes,4,No idea,No idea,No idea,No idea,No idea,No idea,4,4,5 - extensive development needed,Email
2023/09/21 11:18:21 PM GMT+3,United States,researcher (academic),> 5 years,Technician,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Data Analysis (e.g., presence/absence or community assessment)",,,Freshwater ecosystems,Sediment;Water,Vertebrates;Invertebrates,2,No idea,3,3,3,No idea,No idea,5 - extensive development needed,4,5 - extensive development needed,Slack group
2023/09/21 11:55:32 PM GMT+3,Brazil,researcher (academic),> 5 years,Technician,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Marine ecosystems,Water,Vertebrates,3,4,4,5 - extensive development needed,4,5 - extensive development needed,3,5 - extensive development needed,3,5 - extensive development needed,Email
2023/09/22 5:53:53 AM GMT+3,New Zealand,researcher (academic),2-5 years,Doctoral student,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Sediment;Water,Vertebrates;Invertebrates;Plants/Macroalgae;Micro-eukaryotes;Prokaryotes,4,5 - extensive development needed,3,5 - extensive development needed,4,5 - extensive development needed,4,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,Email
